user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
bin58	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082;s__F082 sp001603665	GCA_001603665.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082;s__F082 sp001603665	97.26	0.92	GCA_001603665.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082;s__F082 sp001603665	97.26	0.92	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__F082;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002311655.1, s__F082 sp002311655, 95.0, 83.4, 0.65; GCA_900315175.1, s__F082 sp900315175, 95.0, 83.26, 0.69; GCA_900542475.1, s__F082 sp900542475, 95.0, 79.93, 0.55	86.69	11	N/A	N/A
bin48	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter_A;s__Fibrobacter_A sp002390045	GCA_002390045.1	95.0	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter_A;s__Fibrobacter_A sp002390045	97.84	0.95	GCA_002390045.1	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter_A;s__Fibrobacter_A sp002390045	97.84	0.95	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__Fibrobacter_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002797675.1, s__Fibrobacter_A sp002797675, 95.0, 85.37, 0.67; GCF_003003115.1, s__Fibrobacter_A sp003003115, 95.0, 78.9, 0.31; GCF_900167415.1, s__Fibrobacter_A intestinalis, 95.0, 77.86, 0.24	88.12	11	N/A	N/A
bin76	d__Bacteria;p__UBA3054;c__UBA3054;o__UBA3054;f__UBA3054;g__UBA3054;s__UBA3054 sp002366995	GCA_002366995.1	95.0	d__Bacteria;p__UBA3054;c__UBA3054;o__UBA3054;f__UBA3054;g__UBA3054;s__UBA3054 sp002366995	98.55	0.97	GCA_002366995.1	d__Bacteria;p__UBA3054;c__UBA3054;o__UBA3054;f__UBA3054;g__UBA3054;s__UBA3054 sp002366995	98.55	0.97	d__Bacteria;p__UBA3054;c__UBA3054;o__UBA3054;f__UBA3054;g__UBA3054;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002308555.1, s__UBA3054 sp002308555, 95.0, 83.01, 0.83	81.87	11	N/A	N/A
bin92	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	N/A	N/A	N/A	N/A	N/A	GCA_900321955.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__UBA636 sp900321955	79.77	0.44	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	Placement	taxonomic classification fully defined by topology	GCA_002362065.1, s__UBA636 sp002362065, 95.0, 79.4, 0.35	77.62	11	0.9829717985815498	N/A
bin107	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	Placement	taxonomic classification fully defined by topology	GCA_900321955.1, s__UBA636 sp900321955, 95.0, 79.89, 0.53; GCA_002362065.1, s__UBA636 sp002362065, 95.0, 79.61, 0.42	89.96	11	0.970061183219952	Genome has more than 24.2% of markers with multiple hits
bin485	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	Placement	taxonomic classification fully defined by topology	N/A	17.94	11	0.9622576980380774	N/A
bin311	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	Placement	taxonomic classification fully defined by topology	GCA_900321955.1, s__UBA636 sp900321955, 95.0, 78.49, 0.24; GCA_002362065.1, s__UBA636 sp002362065, 95.0, 77.44, 0.22	41.73	11	0.9611956980321978	N/A
bin312	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA636;s__	Placement	taxonomic classification fully defined by topology	GCA_900321955.1, s__UBA636 sp900321955, 95.0, 77.42, 0.12	56.23	11	0.9591359158017558	Genome has more than 20.8% of markers with multiple hits
bin391	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	16.98	11	0.8775346038242069	Genome domain questionable ( 12.5% Bacterial, 4.1% Archaeal)
bin132	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__	N/A	N/A	N/A	N/A	N/A	GCA_900319675.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__RUG521 sp900319675	81.58	0.35	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.91	11	0.9507497790166751	N/A
bin668	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__	N/A	N/A	N/A	N/A	N/A	GCA_900319675.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__RUG521 sp900319675	87.21	0.24	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	28.53	11	0.9394802569294519	N/A
bin531	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__RUG521;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	10.56	11	0.9226278574523317	N/A
bin216	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4951;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4951;s__	Placement	taxonomic classification fully defined by topology	N/A	63.39	11	0.949788414868195	Genome has more than 24.2% of markers with multiple hits
bin221	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA733;s__	N/A	N/A	N/A	N/A	N/A	GCA_900316365.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA733;s__UBA733 sp900316365	96.1	0.53	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA733;s__	Placement	taxonomic classification fully defined by topology	N/A	42.36	11	0.9944635112651212	N/A
bin17	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA3207;s__	N/A	N/A	N/A	N/A	N/A	GCA_002395065.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA3207;s__UBA3207 sp002395065	93.18	0.84	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA3207;s__	Placement	taxonomic classification fully defined by topology	GCA_002393905.1, s__UBA3207 sp002393905, 95.0, 84.63, 0.7; GCA_002363735.1, s__UBA3207 sp002363735, 95.0, 82.5, 0.64; GCA_900314585.1, s__UBA3207 sp900314585, 95.0, 78.43, 0.24; GCA_002494205.1, s__UBA3207 sp002494205, 95.0, 77.22, 0.25	87.2	11	0.9972751752647443	N/A
bin220	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4855;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__UBA4855;s__	Placement	taxonomic classification fully defined by topology	GCA_900545015.1, s__UBA4855 sp900545015, 95.0, 78.68, 0.25; GCA_900540395.1, s__UBA4855 sp900540395, 95.0, 77.7, 0.2	49.62	11	0.9457449046940436	N/A
bin415	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	Placement	taxonomic novelty determined using RED	N/A	29.62	11	0.9219898862231833	N/A
bin322	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	Placement	taxonomic novelty determined using RED	N/A	17.28	11	0.907867282566351	N/A
bin84	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	Placement	taxonomic novelty determined using RED	N/A	68.77	11	0.9069793816996926	N/A
bin47	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	Placement	taxonomic novelty determined using RED	N/A	88.73	11	0.9039650696060438	N/A
bin259	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-826;g__;s__	Placement	taxonomic novelty determined using RED	N/A	63.08	11	0.8966768837175737	Genome has more than 37.5% of markers with multiple hits
bin139	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-449;g__UBA3210;s__	N/A	N/A	N/A	N/A	N/A	GCA_002363635.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-449;g__UBA3210;s__UBA3210 sp002363635	78.15	0.21	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-449;g__;s__	Placement	taxonomic novelty determined using RED	N/A	66.73	11	0.8986846584400173	N/A
bin507	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__CAG-302;s__	N/A	N/A	N/A	N/A	N/A	GCA_002375205.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__CAG-302;s__CAG-302 sp002375205	82.69	0.55	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__CAG-302;s__	Placement	taxonomic classification fully defined by topology	GCA_900549325.1, s__CAG-302 sp900549325, 95.0, 78.83, 0.37; GCA_000431795.1, s__CAG-302 sp000431795, 95.0, 78.62, 0.39; GCA_001916775.1, s__CAG-302 sp001916775, 95.0, 78.48, 0.4; GCA_900543825.1, s__CAG-302 sp900543825, 95.0, 78.3, 0.39; GCA_900548425.1, s__CAG-302 sp900548425, 95.0, 78.15, 0.4; GCA_900554615.1, s__CAG-302 sp900554615, 95.0, 78.12, 0.28	71.11	11	0.9663626911672558	Genome has more than 46.7% of markers with multiple hits
bin15	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	88.59	11	0.8991239351460222	N/A
bin427	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-302;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	14.58	11	0.8494236236829387	N/A
bin149	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5026;s__	N/A	N/A	N/A	N/A	N/A	GCA_900546745.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5026;s__UBA5026 sp900546745	77.72	0.29	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5026;s__	Placement	taxonomic classification fully defined by topology	GCA_900550255.1, s__UBA5026 sp900550255, 95.0, 77.74, 0.24; GCA_900552335.1, s__UBA5026 sp900552335, 95.0, 77.45, 0.18; GCA_900313725.1, s__UBA5026 sp900313725, 95.0, 76.8, 0.27; GCA_900557305.1, s__UBA5026 sp900557305, 95.0, 76.39, 0.18	57.44	11	0.9523955159231792	N/A
bin145	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5578;s__	N/A	N/A	N/A	N/A	N/A	GCA_900553395.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5578;s__UBA5578 sp900553395	77.2	0.21	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-822;g__UBA5578;s__	Placement	taxonomic classification fully defined by topology	GCA_002425325.1, s__UBA5578 sp002425325, 95.0, 77.03, 0.23	64.96	11	0.9338972258188072	N/A
bin307	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA3789;s__	N/A	N/A	N/A	N/A	N/A	GCA_002369415.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA3789;s__UBA3789 sp002369415	78.47	0.36	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA3789;s__	Placement	taxonomic classification fully defined by topology	GCA_900543055.1, s__UBA3789 sp900543055, 95.0, 78.21, 0.28; GCA_900314225.1, s__UBA3789 sp900314225, 95.0, 77.76, 0.22	35.58	11	0.9592541993602688	Genome has more than 10.0% of markers with multiple hits
bin160	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA3789;s__	N/A	N/A	N/A	N/A	N/A	GCA_002369415.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA3789;s__UBA3789 sp002369415	78.98	0.37	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__UBA3789;s__	Placement	taxonomic classification fully defined by topology	GCA_900543055.1, s__UBA3789 sp900543055, 95.0, 78.62, 0.34; GCA_900314225.1, s__UBA3789 sp900314225, 95.0, 77.33, 0.27	62.54	11	0.9592020123317365	N/A
bin325	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	19.44	11	0.8700956839598173	N/A
bin124	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-988;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__	Placement	taxonomic novelty determined using RED	N/A	70.02	11	0.9366330437014827	N/A
bin378	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__RUG591;s__	N/A	N/A	N/A	N/A	N/A	GCA_900320425.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__RUG591;s__RUG591 sp900320425	78.08	0.34	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__	Placement	taxonomic novelty determined using RED	N/A	38.04	11	0.9234550483054159	Genome has more than 10.0% of markers with multiple hits
bin390	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__RUG591;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__;s__	Placement	taxonomic novelty determined using RED	N/A	27.04	11	0.8938080477778876	N/A
bin175	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA6985;s__	N/A	N/A	N/A	N/A	N/A	GCA_002450035.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA6985;s__UBA6985 sp002450035	80.15	0.42	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA6985;s__	Placement	taxonomic classification fully defined by topology	GCA_900314465.1, s__UBA6985 sp900314465, 95.0, 76.65, 0.21	67.16	11	0.9701900387692061	N/A
bin14	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA6985;s__	N/A	N/A	N/A	N/A	N/A	GCA_002450035.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA6985;s__UBA6985 sp002450035	80.19	0.49	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__UBA6985;s__	Placement	taxonomic classification fully defined by topology	GCA_900314465.1, s__UBA6985 sp900314465, 95.0, 77.13, 0.25	82.46	11	0.9698105814248978	N/A
bin61	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	74.58	11	0.8670757975868983	N/A
bin176	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-1000;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	Placement	taxonomic novelty determined using RED	N/A	59.86	11	0.9305063687930557	N/A
bin136	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	Placement	taxonomic novelty determined using RED	N/A	61.27	11	0.8982978290677363	N/A
bin135	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	Placement	taxonomic novelty determined using RED	N/A	83.39	11	0.895672337079044	Genome has more than 21.7% of markers with multiple hits
bin373	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	30.77	11	0.8133947255142777	N/A
bin224	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	30.4	11	0.808949118932631	N/A
bin433	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	13.49	11	0.764465772129151	N/A
bin572	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	10.0	11	0.762089025088959	Genome domain questionable ( 10.0% Bacterial, 2.5% Archaeal)
bin198	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__	N/A	N/A	N/A	N/A	N/A	GCF_003550015.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__Anaeroplasma bactoclasticum	79.78	0.43	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__Anaeroplasma;s__	Placement	taxonomic classification fully defined by topology	GCA_002449755.1, s__Anaeroplasma sp002449755, 95.0, 79.33, 0.3	63.79	11	0.9618944728908189	Genome has more than 10.0% of markers with multiple hits
bin377	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	26.01	11	0.9172266607633588	N/A
bin152	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	60.32	11	0.8745434265891235	N/A
bin641	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Anaeroplasmataceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	14.35	11	0.7917245462581486	Genome domain questionable ( 10.8% Bacterial, 5.7% Archaeal)
bin104	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__UBA1188;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__Izemoplasmatales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	60.69	11	0.9034511414607174	N/A
bin49	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__RUG293;s__	N/A	N/A	N/A	N/A	N/A	GCA_900317575.1	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__RUG293;s__RUG293 sp900317575	79.67	0.42	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-313;g__;s__	Placement	taxonomic novelty determined using RED	N/A	79.7	11	0.9444035105756021	N/A
bin114	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__CAG-698;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes;c__Bacilli;o__ML615J-28;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	69.33	11	0.7998525797093488	N/A
bin609	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	14.78	11	0.4072804498188976	N/A
bin308	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;;c__;o__;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	57.34	11	0.4046525728308968	Genome has more than 18.3% of markers with multiple hits
bin350	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	N/A	N/A	N/A	N/A	N/A	GCA_900317315.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E sp900317315	79.02	0.34	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	Placement	taxonomic classification fully defined by topology	GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 78.72, 0.31; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 77.9, 0.23; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 77.84, 0.21; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 77.8, 0.2; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 77.79, 0.23; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 77.79, 0.23; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 77.55, 0.21; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 77.53, 0.25	26.88	11	0.9936761301871225	N/A
bin529	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	Placement	taxonomic classification fully defined by topology	N/A	11.07	11	0.9847424021196992	N/A
